date,ticker,open_price,high_price,low_price,close_price,volume,daily_return,volatility_30d,moving_avg_50d,sharpe_ratio
2025-08-19,AAPL,231.27499389648438,232.86500549316406,229.35000610351562,230.55999755859375,36804727,-0.001429259958971918,0.015510268121491283,210.52255584716798,-0.09726621271276552
2025-08-19,AMZN,230.1898956298828,230.52830505371094,227.1199951171875,228.00999450683594,26853998,-0.01503309388634011,0.02004154032913573,221.89860076904296,-0.7540567599854187
2025-08-19,GOOGL,203.02999877929688,203.44000244140625,199.9600067138672,201.57000732421875,23648902,-0.009483993492782505,0.011521156339839791,185.31299926757814,-0.8300693341932872
2025-08-19,META,766.75,767.1699829101562,749.3599853515625,751.47998046875,12163105,-0.020707109672708612,0.02597902639435703,726.5470910644531,-0.8001252408977411
2025-08-19,MSFT,515.0,515.1641235351562,508.54998779296875,509.7699890136719,20802663,-0.014175182592031321,0.011763792408614868,503.5797991943359,-1.211730637218445
2025-08-18,AAPL,231.6999969482422,233.1199951171875,230.11000061035156,230.88999938964844,37476200,-0.0030225698834628334,0.015495507984529444,209.98513244628907,-0.20018285079294287
2025-08-18,AMZN,230.22999572753906,231.91000366210938,228.3300018310547,231.49000549316406,25248900,0.0019911124801876845,0.020146131456540286,221.60980102539062,0.09489401997334686
2025-08-18,GOOGL,204.1999969482422,205.27000427246094,202.49000549316406,203.5,18526600,-0.001961716078753062,0.011729109681961948,184.75099884033204,-0.17401842198279502
2025-08-18,META,775.0900268554688,775.8099975585938,756.5599975585938,767.3699951171875,16513700,-0.022744910148362885,0.025632105854589873,725.4609631347656,-0.8904564984714621
2025-08-18,MSFT,521.5900268554688,522.8200073242188,514.02001953125,517.0999755859375,23760600,-0.005901930955421908,0.01143188587780328,502.79199951171876,-0.5232116641752494
2025-08-15,AAPL,234.0,234.27999877929688,229.33999633789062,231.58999633789062,56038700,-0.005112133549474374,0.0158917894494726,209.37538391113281,-0.3266780399618082
2025-08-15,AMZN,232.5800018310547,234.0800018310547,229.80999755859375,231.02999877929688,39649200,0.00021648217457226338,0.02014677874887497,221.13820098876954,0.006805906637300063
2025-08-15,GOOGL,203.85000610351562,206.44000244140625,201.27999877929688,203.89999389648438,34931400,0.004730420043013828,0.012232784183469528,184.0411312866211,0.3802122962272021
2025-08-15,META,784.1500244140625,796.25,780.8200073242188,785.22998046875,13375400,0.00396350423405889,0.025196714960967873,723.7954357910156,0.15415260127007488
2025-08-15,MSFT,522.77001953125,526.0999755859375,519.0800170898438,520.1699829101562,25213300,-0.0044212173574982305,0.011371378773200021,501.8035998535156,-0.3957815957613028
2025-08-14,AAPL,234.05999755859375,235.1199951171875,230.85000610351562,232.77999877929688,51916300,-0.0023571895917441354,0.015824790721087122,208.7953857421875,-0.15397073579383358
